Input Size  Running time
1          0
2          0
3          0
4          0
5          0
6          0
7          0
8          0
9          0
10          0
11          1043
12          0
13          0
14          0
15          0
16          1015
17          998
18          997
19          2999
20          6000
21          12001
22          24355
23          47550
24          97924
25          210001
26          422304
27          795089
28          1647104
29          3258448
30          6537560
31          13003735
